Granja Viana,Granja_VianaKGV102,Granja Viana Kart 102,13,990,Kart,0.99,28,Kart
Granja Viana,Granja_VianaKGV121,Granja Viana Kart 121,11,800,Kart,0.8,28,Kart
Guaporé,Guapore,Guaporé,7,3080,Grade 3,3.08,40,Circuit
Guaporé,Guapore_STT,Guaporé STT,7,3080,Grade 3,3.08,20,Circuit
Hockenheimring,Hockenheim_GP,Hockenheim,17,4570,Grade 1,4.57,48,Circuit
Hockenheimring,Hockenheim_RX,Hockenheim Rallycross,17,1120,Rallycross,1.12,8,Rallycross
Hockenheimring,Hockenheim_National,Hockenheim National,16,3690,Grade 2,3.69,30,Circuit
Hockenheimring,Hockenheim_ShortA,Hockenheim Short A,11,2630,Grade 3,2.63,30,Circuit
Hockenheimring,Hockenheim_ShortB,Hockenheim Short B,13,2600,Grade 3,2.6,30,Circuit
Hockenheimring,Hockenheim_2001,Hockenheim Historic 2001,16,6820,Historic,6.82,30,Circuit
Hockenheimring,Hockenheim_STT,Hockenheim STT,11,2630,Grade 3,2.63,20,Circuit
Hockenheimring,Hockenheim_1988,Hockenheim Historic 1988,15,6790,Historic,6.79,36,Circuit
Hockenheimring,Hockenheim_1988_short,Hockenheim Historic 1988 Short,13,2630,Historic,2.63,36,Circuit
Hockenheimring,Hockenheim_1977,Hockenheim Historic 1977,13,6780,Historic,6.78,36,Circuit
Ibarra,Ibarra,Autódromo Yahuarcocha,18,4300,Grade 4,4.3,30,Circuit
Ibarra,Ibarra_R,Autódromo Yahuarcocha Reverse,18,4300,Grade 4,4.3,30,Circuit
Ibarra,Ibarra_STT,Autódromo Yahuarcocha STT,18,4300,Grade 4,4.3,20,Circuit
Imola,imola,Imola,19,4900,Grade 1,4.9,48,Circuit
Imola,imola_01,Imola Historic 2001,21,4930,Historic,4.93,26,Circuit
Imola,imola_88,Imola Historic 1988,21,5040,Historic,5.04,26,Circuit
Imola,imola_72,Imola Historic 1972,14,5010,Historic,5.01,26,Circuit
Indianapolis,Indianapolis_2022_RC,Indianapolis Motor Speedway Road Course,14,3920,Grade 1,3.92,48,Circuit
Indianapolis,Indianapolis_2022_Oval,Indianapolis Motor Speedway Oval,4,4020,Oval,4.02,48,Oval
Interlagos,Interlagos,Interlagos GP,15,4290,Grade 1,4.29,48,Circuit
Interlagos,Interlagos_SCB,Interlagos Stock Car Brasil,15,4290,Grade 2,4.29,48,Circuit
Interlagos,Interlagos_1993,Interlagos Historic 1993,17,4320,Historic,4.32,32,Circuit
Interlagos,Interlagos_1991,Interlagos Historic 1991,17,4320,Historic,4.32,32,Circuit
Interlagos,Interlagos_Historic,Interlagos Historic 1976,17,7920,Historic,7.92,32,Circuit
Interlagos,Interlagos_Historic_Outer,Interlagos Historic 1978 Outer,17,3230,Historic,3.23,32,Circuit
Interlagos,Interlagos_Kart1,Interlagos Kart One,19,1120,Kart,1.12,38,Kart
Interlagos,Interlagos_Kart2,Interlagos Kart Two,15,1120,Kart,1.12,38,Kart
Interlagos,Interlagos_Kart3,Interlagos Kart Three,9,690,Kart,0.69,38,Kart
Jacarepaguá,Jacarepagua2005,Jacarepaguá Historic 2005,13,4900,Historic,4.9,40,Circuit
Jacarepaguá,jacarepagua_historic,Jacarepaguá Historic 1988,11,5000,Historic,5,40,Circuit
Jacarepaguá,JacarepaguaOVAL,Jacarepaguá Historic 2005 Oval,4,3000,Oval,3,32,Oval
